"","decimalLatitude","decimalLongitude","eventDate","scientificName","taxonConceptID","recordID","data_resource"
"102",NA,NA,"","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","cda20f6b-5a7f-4e39-a935-0138aaf39636","Australian Museum provider for OZCAM"
"103",NA,NA,"","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","cd7bdec0-872d-4b76-a243-9ee9c404fd86","South Australian Museum Australia provider for OZCAM"
"104",NA,NA,"","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","cd579630-f62d-4982-bebf-415ddf3af76c","Australian Museum provider for OZCAM"
"105",NA,NA,"","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","ccda2326-d350-4974-94d2-f18bde742b6b","Western Australian Museum provider for OZCAM"
"106",NA,NA,"","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","ccc98aca-e6be-4def-84ef-37b236993817","Museums Victoria provider for OZCAM"
"107",-42,146.76,"","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","ccbd5b9d-fef7-478c-9a02-5f85b501fbed","Australian Museum provider for OZCAM"
"108",-43.16,147.07,"","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","ccb087bf-b80f-4983-b585-e75b1283cec2","Tasmanian Museum and Art Gallery provider for OZCAM"
"109",NA,NA,"","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","cad88e3f-f512-4c23-877f-8bd75beaaa67","South Australian Museum Australia provider for OZCAM"
"110",-37.8,145.02,"","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","c8b37cb4-1c3e-4239-ad01-e2e1a423adc7","Museums Victoria provider for OZCAM"
"111",-33.75,150.716,"","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","c79b6190-13e7-440b-afb2-7dd497f52a0c","Australian Museum provider for OZCAM"
"112",-37.8,145.02,"","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","c77c6759-5798-49a6-9f32-62f52e7a6993","Museums Victoria provider for OZCAM"
"113",-33.85,150.933,"","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","c68762a4-71f3-4238-8736-5c3e500c9493","Australian Museum provider for OZCAM"
"114",-30.3474017,152.6088658,"","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","c671a73b-5623-461c-a521-343cc4e79715","OEH Atlas of NSW Wildlife"
